time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/reward,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/std,train/clip_range,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/approx_kl
30,3219,61440,19,0.00078955723,1090,0.0,-0.00033836632501333953,1.0651088953018188,0.2,-1.482386738061905,-0.013405391946434975,0.0012860770722909365,0.000390625,0.0001,0.0021140287
31,3217,63488,19,-0.00021879176,1100,0.0,-0.000751718386891298,1.0632083415985107,0.2,-1.4813685968518258,-0.005432676523923874,0.0017724347693729215,0.00888671875,0.0001,0.0036289617
32,3211,65536,20,0.00033955602,1110,0.0,-0.001321778926649131,1.0600205659866333,0.2,-1.4787183701992035,-0.017239445820450783,0.0013388141022005584,0.018017578125,0.0001,0.0047562043
33,3204,67584,21,-0.0011027917,1120,0.0,-0.0005369979160604998,1.0571693181991577,0.2,-1.4759163752198219,-0.017382124438881874,0.0013489659155311528,0.000732421875,0.0001,0.0025768531
34,3203,69632,21,-0.015175123,1130,0.0,-0.0004244880343321711,1.0567970275878906,0.2,-1.4745816379785537,-0.014484492130577564,0.001989502040669322,0.0029296875,0.0001,0.0029702415
35,3209,71680,22,-0.0021122498,1140,0.0,-0.002808376229950227,1.056705355644226,0.2,-1.4741497695446015,-0.022914007306098938,0.0027580000358284453,0.036962890625,0.0001,0.0047159223
36,3207,73728,22,0.0009673065,1150,0.0,1.730268122628331e-05,1.0586612224578857,0.2,-1.4748372822999953,-0.013763868249952793,0.0021548458491452037,0.0,0.0001,2.314063e-05
37,3207,75776,23,0.008876059,1160,0.0,-0.0011249300965573638,1.062434196472168,0.2,-1.4780915096402167,-0.008188247680664062,0.0020176508187432773,0.0072265625,0.0001,0.003266749
38,3207,77824,24,0.0029465284,1170,0.0,1.3466010568663477e-05,1.0647379159927368,0.2,-1.480520735681057,-0.013480463065207005,0.0012635782833967824,0.0,0.0001,0.00016916811
39,3204,79872,24,0.005001701,1180,0.0,-0.0013246376736788079,1.0681957006454468,0.2,-1.4835863679647445,-0.02038571983575821,0.0011041728044801856,0.0154296875,0.0001,0.005142945
40,3204,81920,25,-0.0015909476,1190,0.0,-0.0009696238281321712,1.0715769529342651,0.2,-1.4867621809244156,-0.020034069195389748,0.0008610085722466465,0.009130859375,0.0001,0.0030416094
